TRN DATE,TRN/TYPE AND DESCRIPTION,C/V/DATE,DEBIT,CREDIT,BALANCE
,OPENING BALANCE,,,,"251,669.00"
02/07/2025,"PIAPP, OWN BANK N S POULTRY. A/C: 407****186, M/S, N.S POULTRY & FISH FEED.Trx.ID 2025070201-2-236876 OL 1",02/07/2025,,"16,000.00","267,669.00"
02/07/2025,"PIAPP, OWN BANK MANIK. A/C: 196****889, GRAM BANGLA POULTRY FEED & FISH FEED.Trx.ID 2025070201-2-236878 OL 1",02/07/2025,,"19,800.00","287,469.00"
02/07/2025,"PIAPP, OWN BANK ADNAN POULTRY. A/C:118****611, MD. ABUL HUSSAIN. Trx.ID2025070201-2-240521 OL 1",02/07/2025,,"52,360.00","339,829.00"
02/07/2025,"PIAPP, OWN BANK CHICKS PAYMENT. A/C:169****716, M/S ALAK TRADERS. Trx.ID2025070201-2-267348 OL 1",02/07/2025,,"11,000.00","350,829.00"
02/07/2025,"PIAPP, OWN BANK ALOM42944. A/C: 372****576, MASRURA POULTRY FEED. Trx.ID2025070201-2-362897 OL 1",02/07/2025,,"131,600.00","482,429.00"
02/07/2025,"PIAPP, OWN BANK SABUJ KANTICHOWDHURY. A/C: 049****871, M/SSHUVRO ENTERPRISE. Trx.ID 2025070201-2",02/07/2025,,"11,000.00","493,429.00"
02/07/2025,"PIAPP, OWN BANK FOR CHICKS. A/C: 175****720, ANISHA POULTRY PRODUCT. Trx.ID2025070201-2-441595 OL 1",02/07/2025,,"6,160.00","499,589.00"
02/07/2025,"PIAPP, OWN BANK SAHAB. A/C: 104****683, M/S, ENAM TRADERS. Trx.ID 2025070201-2-499731 OL 1",02/07/2025,,"15,000.00","514,589.00"
02/07/2025,"PIAPP, OWN BANK NEW NOOR KHULNA. A/C:285****023, NEW NOOR POULTRY & FISHFEED COMPLEX. Trx.ID 2025070202-2-609353",02/07/2025,,"16,000.00","530,589.00"
02/07/2025,"374-901-57576 DAS POULTRY COR, BARISALBRANCH OL 1",02/07/2025,,"30,000.00","560,589.00"
02/07/2025,"3070-909-0, SHAISTAGONJ BRANCH OL 1",02/07/2025,,"196,300.00","756,889.00"
02/07/2025,"PIAPP, OWN BANK AFRIN TRADERS. A/C: 019****939, M/S RAKIB LEYAR AGRO FARM.Trx.ID 2025070202-2-644277 OL 1",02/07/2025,,"15,700.00","772,589.00"
